제목,설명,전화번호,도로명주소,분류
한화꿈에그린 아파트 지하주차장,민방위 대피소 : 한화꿈에그린 아파트 지하주차장,1666-1234,경기도 안산시 단원구 원선1로 37(원곡동),민방위대피소
보성프라자,민방위 대피소 : 보성프라자,1666-1234,경기도 안산시 단원구 원초로 30 (원곡동),민방위대피소
벽산블루밍아파트 지하주차장,민방위 대피소 : 벽산블루밍아파트 지하주차장,1666-1234,경기도 안산시 단원구 원선로 50(원곡동),민방위대피소
성문교회(지하),민방위 대피소 : 성문교회(지하),1666-1234,경기도 안산시 단원구 관산2길 27 (원곡동),민방위대피소
군자상가(지하주차장),민방위 대피소 : 군자상가(지하주차장),1666-1234,경기도 안산시 단원구 화랑로 32 (원곡동),민방위대피소
안산역 지하보도,민방위 대피소 : 안산역 지하보도,1666-1234,경기도 안산시 단원구 중앙대로 462 (원곡동),민방위대피소
휴먼시아2단지(지하주차장),민방위 대피소 : 휴먼시아2단지(지하주차장),1666-1234,경기도 안산시 단원구 삼일로 13 (신길동),민방위대피소
신유7차 연립단지 지하주차장,민방위 대피소 : 신유7차 연립단지 지하주차장,1666-1234,경기도 안산시 단원구 화정로안길 35 (와동),민방위대피소
무진4차 연립단지 지하주차장,민방위 대피소 : 무진4차 연립단지 지하주차장,1666-1234,경기도 안산시 단원구 화정천동로 322 (와동),민방위대피소
창동2차 연립단지 지하주차장,민방위 대피소 : 창동2차 연립단지 지하주차장,1666-1234,경기도 안산시 단원구 와동로 5 (와동),민방위대피소
융보연립단지 지하주차장,민방위 대피소 : 융보연립단지 지하주차장,1666-1234,경기도 안산시 단원구 와동로1길 15 (와동),민방위대피소
보륭2차 연립단지 지하주차장,민방위 대피소 : 보륭2차 연립단지 지하주차장,1666-1234,경기도 안산시 단원구 와동로1길 27 (와동),민방위대피소
휴먼시아9단지(902동 지하주차장),민방위 대피소 : 휴먼시아9단지(902동 지하주차장),1666-1234,경기도 안산시 단원구 도일로 26 (신길동),민방위대피소
휴먼시아7단지(708동앞 지하주차장),민방위 대피소 : 휴먼시아7단지(708동앞 지하주차장),1666-1234,경기도 안산시 단원구 신길로 50 (신길동),민방위대피소
휴먼시아5단지아파트(506동 지하주차장),민방위 대피소 : 휴먼시아5단지아파트(506동 지하주차장),1666-1234,경기도 안산시 단원구 신길로 94 (신길동),민방위대피소
휴먼시아3단지(지하주차장) 105동,민방위 대피소 : 휴먼시아3단지(지하주차장) 105동,1666-1234,경기도 안산시 단원구 새뿔길 101 (신길동),민방위대피소
휴먼빌2차아파트(209동옆),민방위 대피소 : 휴먼빌2차아파트(209동옆),1666-1234,경기도 안산시 단원구 신각길 44 (신길동),민방위대피소
휴먼빌아파트(105동앞),민방위 대피소 : 휴먼빌아파트(105동앞),1666-1234,경기도 안산시 단원구 신각길 18 (신길동),민방위대피소
두산아파트 지하주차장(101동앞),민방위 대피소 : 두산아파트 지하주차장(101동앞),1666-1234,경기도 안산시 단원구 새뿔길 42 (신길동),민방위대피소
삼익아파트 지하주차장(103동앞),민방위 대피소 : 삼익아파트 지하주차장(103동앞),1666-1234,경기도 안산시 단원구 새뿔길 55 (신길동),민방위대피소
효성아파트(선부2),민방위 대피소 : 효성아파트(선부2),1666-1234,경기도 안산시 단원구 선부로 29 (선부동),민방위대피소
"롯데마트 지하1,2,3층 주차장(선부점)","민방위 대피소 : 롯데마트 지하1,2,3층 주차장(선부점)",1666-1234,경기도 안산시 단원구 달미로 64 (수정한양아파트),민방위대피소
공작한양아파트 지하주차장,민방위 대피소 : 공작한양아파트 지하주차장,1666-1234,경기도 안산시 단원구 선부로 166 (선부동),민방위대피소
한양프라자,민방위 대피소 : 한양프라자,1666-1234,경기도 안산시 단원구 달미로 63 (선부동),민방위대피소
동명벽산블루밍아파트 지하주차장,민방위 대피소 : 동명벽산블루밍아파트 지하주차장,1666-1234,경기도 안산시 단원구 선부광장북로 36 (선부동),민방위대피소
늘봄스위트빌2차,민방위 대피소 : 늘봄스위트빌2차,1666-1234,경기도 안산시 단원구 선부광장로 77 (선부동),민방위대피소
서울프라자,민방위 대피소 : 서울프라자,1666-1234,경기도 안산시 단원구 삼일로 310 (선부동),민방위대피소
안산세이브시티(선부2),민방위 대피소 : 안산세이브시티(선부2),1666-1234,경기도 안산시 단원구 선부광장로 23 (선부동),민방위대피소
일신건영휴먼빌아파트(선부2),민방위 대피소 : 일신건영휴먼빌아파트(선부2),1666-1234,경기도 안산시 단원구 선이로 6 (선부동),민방위대피소
안산문화예술의 전당(지하주차장),민방위 대피소 : 안산문화예술의 전당(지하주차장),1666-1234,경기도 안산시 단원구 화랑로 312 (고잔동),민방위대피소
안산레이크타운푸르지오(지하주차장),민방위 대피소 : 안산레이크타운푸르지오(지하주차장),1666-1234,경기도 안산시 단원구 광덕동로 25 (고잔동),민방위대피소
고잔1차푸르지오아파트(지하주차장),민방위 대피소 : 고잔1차푸르지오아파트(지하주차장),1666-1234,경기도 안산시 단원구 광덕동로 26 (고잔동),민방위대피소
양지마을아파트(지하주차장),민방위 대피소 : 양지마을아파트(지하주차장),1666-1234,경기도 안산시 단원구 한양대학로 130 (고잔동),민방위대피소
보네르빌리지아파트(지하주차장),민방위 대피소 : 보네르빌리지아파트(지하주차장),1666-1234,경기도 안산시 단원구 안산천남로 211 (고잔동),민방위대피소
그린빌주공7단지아파트(지하주차장),민방위 대피소 : 그린빌주공7단지아파트(지하주차장),1666-1234,경기도 안산시 단원구 광덕2로 216 (고잔동),민방위대피소
네오빌주공아파트(지하주차장),민방위 대피소 : 네오빌주공아파트(지하주차장),1666-1234,경기도 안산시 단원구 광덕동로 78 (고잔동),민방위대피소
그린빌주공8단지아파트(지하주차장),민방위 대피소 : 그린빌주공8단지아파트(지하주차장),1666-1234,경기도 안산시 단원구 광덕2로 241 (고잔동),민방위대피소
안산고잔3차푸르지오(지하주차장),민방위 대피소 : 안산고잔3차푸르지오(지하주차장),1666-1234,경기도 안산시 단원구 광덕3로 201 (고잔동),민방위대피소
호수공원대림아파트(지하주차장),민방위 대피소 : 호수공원대림아파트(지하주차장),1666-1234,경기도 안산시 단원구 광덕서로 19 (고잔동),민방위대피소
단원마을아파트(지하주차장),민방위 대피소 : 단원마을아파트(지하주차장),1666-1234,경기도 안산시 단원구 광덕서로 43 (고잔동),민방위대피소
안산고잔5차푸르지오(지하주차장),민방위 대피소 : 안산고잔5차푸르지오(지하주차장),1666-1234,경기도 안산시 단원구 광덕2로 121 (고잔동),민방위대피소
안산고잔4차푸르지오(지하주차장),민방위 대피소 : 안산고잔4차푸르지오(지하주차장),1666-1234,경기도 안산시 단원구 적금로 76 (고잔동),민방위대피소
진우연립(지하주차장),민방위 대피소 : 진우연립(지하주차장),1666-1234,경기도 안산시 단원구 인현중앙길 28 (고잔동),민방위대피소
무진연립(지하주차장),민방위 대피소 : 무진연립(지하주차장),1666-1234,경기도 안산시 단원구 인현로 39 (고잔동),민방위대피소
대진연립(지하주차장),민방위 대피소 : 대진연립(지하주차장),1666-1234,경기도 안산시 단원구 적금로4길 1 (고잔동),민방위대피소
동서코아앞 지하도,민방위 대피소 : 동서코아앞 지하도,1666-1234,경기도 안산시 단원구 중앙대로 921 (고잔동),민방위대피소
중앙하이츠빌,민방위 대피소 : 중앙하이츠빌,1666-1234,경기도 안산시 단원구 안산천서로 23 (고잔동),민방위대피소
안산중앙노블레스,민방위 대피소 : 안산중앙노블레스,1666-1234,경기도 안산시 단원구 예술대학로 17 (고잔동),민방위대피소
영풍맘모스프라자,민방위 대피소 : 영풍맘모스프라자,1666-1234,경기도 안산시 단원구 고잔로 76 (고잔동),민방위대피소
거풍스카이팰리스,민방위 대피소 : 거풍스카이팰리스,1666-1234,경기도 안산시 단원구 당곡로 11 (고잔동),민방위대피소
보륭3차 연립단지 지하주차장,민방위 대피소 : 보륭3차 연립단지 지하주차장,1666-1234,경기도 안산시 단원구 화정로3길 18 (와동),민방위대피소
성포동 신우연립 지하주차장,민방위 대피소 : 성포동 신우연립 지하주차장,1666-1234,경기도 안산시 상록구 충장로 462 (성포동),민방위대피소
푸른마을5단지아파트(지하주차장),민방위 대피소 : 푸른마을5단지아파트(지하주차장),1666-1234,경기도 안산시 상록구 광덕4로 460 (사동),민방위대피소
본오2차아파트,민방위 대피소 : 본오2차아파트,1666-1234,경기도 안산시 상록구 선진로 114 (사동),민방위대피소
제일스포츠(제일CC),민방위 대피소 : 제일스포츠(제일CC),1666-1234,경기도 안산시 상록구 태마당로 28 (부곡동),민방위대피소
신안 2차아파트,민방위 대피소 : 신안 2차아파트,1666-1234,경기도 안산시 상록구 반석로 9 (본오동),민방위대피소
연지프라자 지하주차장,민방위 대피소 : 연지프라자 지하주차장,1666-1234,경기도 안산시 상록구 각골로 55 (본오동),민방위대피소
그린빌17단지 지하주차장(전체)(초지동),민방위 대피소 : 그린빌17단지 지하주차장(전체)(초지동),1666-1234,경기도 안산시 단원구 초지2로 11 (초지동),민방위대피소
"엘리지움 아파트 지하주차장(101동,102동 지하)","민방위 대피소 : 엘리지움 아파트 지하주차장(101동,102동 지하)",1666-1234,경기도 안산시 상록구 수암길 55 (수암동),민방위대피소
보륭1차 연립단지 지하주차장,민방위 대피소 : 보륭1차 연립단지 지하주차장,1666-1234,경기도 안산시 단원구 와동로1길 21 (와동),민방위대피소
